school_name,school_type,local_authority,sector,pupils,postcode,latitude,longitude,near_transport
Ysgol Gynradd Llandwrog,"Nursery, Infants & Juniors",Gwynedd,Primary,42.0,LL54 5ST,53.078986350433446,-4.312858423188397,True
Ysgol Gynradd Llanystumdwy,"Nursery, Infants & Juniors",Gwynedd,Primary,25.0,LL52 0SP,52.922734256262544,-4.272517313953091,True
Ysgol Tregarth,"Nursery, Infants & Juniors",Gwynedd,Primary,114.0,LL57 4PG,53.19034878948913,-4.087064078593206,True
Ysgol Cae Top,"Nursery, Infants & Juniors",Gwynedd,Primary,236.0,LL57 2GZ,53.21864436633071,-4.153104535689736,True
Ysgol Santes Helen,"Nursery, Infants & Juniors",Gwynedd,Primary,40.0,LL55 1PF,53.14291692949223,-4.269669482478973,True
Ysgol Ein Harglwyddes,"Nursery, Infants & Juniors",Gwynedd,Primary,152.0,LL57 2UT,53.22166643132038,-4.134051605487572,True
Ysgol Dyffryn Ogwen Bethesda,Secondary (ages 11-19),Gwynedd,Secondary,398.0,LL57 3NN,53.18267170771386,-4.064840259488562,True
Ysgol Botwnnog,Secondary (ages 11-16),Gwynedd,Secondary,469.0,LL53 8PY,52.85273683499613,-4.581583431731723,False
Ysgol Brynrefail,Secondary (ages 11-19),Gwynedd,Secondary,764.0,LL55 4AD,53.15063410321116,-4.191305205629353,True
YSGOL EIFIONYDD,Secondary (ages 11-16),Gwynedd,Secondary,373.0,LL49 9HS,52.931865141036184,-4.131130133306722,True
Ysgol Y Moelwyn,Secondary (ages 11-16),Gwynedd,Secondary,355.0,LL41 3DW,52.99183068800888,-3.938100637994435,True
YSGOL UWCHRADD TYWYN,Secondary (ages 11-16),Gwynedd,Secondary,376.0,LL36 9EU,52.584674584884404,-4.0895304923167135,True
Ysgol Ardudwy,Secondary (ages 11-16),Gwynedd,Secondary,331.0,LL46 2UH,52.8621238882702,-4.11139798095136,True
Ysgol Friars,Secondary (ages 11-19),Gwynedd,Secondary,1383.0,LL57 2LN,53.21775937080398,-4.152326169500751,True
Ysgol Tryfan,Secondary (ages 11-19),Gwynedd,Secondary,513.0,LL57 2TY,53.2200493397834,-4.14499616136492,True
Ysgol Syr Hugh Owen,Secondary (ages 11-19),Gwynedd,Secondary,873.0,LL55 1HW,53.14587259761795,-4.264127888367573,True
Ysgol Glan y Mor,Secondary (ages 11-16),Gwynedd,Secondary,474.0,LL53 5NU,52.88209357421646,-4.4225612874981435,True
Bro Idris,Middle (ages 3-16),Gwynedd,Middle,541.0,LL40 1HY,52.74137907460575,-3.879782925432673,True
YSGOL Godre'r Berwyn,Middle (ages 3-19),Gwynedd,Middle,571.0,LL23 7RU,52.912845813054545,-3.5982768187746195,True
Ysgol Betws y Coed,"Nursery, Infants & Juniors",Conwy,Primary,14.0,LL24 0BP,53.092645726040814,-3.8188217592746923,True
Ysgol Capelulo,"Nursery, Infants & Juniors",Conwy,Primary,136.0,LL34 6RA,53.27468064156368,-3.9038876114876384,True
