Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
20,20,Number of pupils,NUM,1,,6612028 - Ysgol Penybryn,6612028,55,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6612028 - Ysgol Penybryn,6612028,55,,Eligible for free school meals or transitionally protected,fsmtp,2,,
105,105,Number of pupils,NUM,1,,6612028 - Ysgol Penybryn,6612028,55,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6612033 - Ysgol Treferthyr,6612033,56,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6612033 - Ysgol Treferthyr,6612033,56,,Eligible for free school meals or transitionally protected,fsmtp,2,,
120,120,Number of pupils,NUM,1,,6612033 - Ysgol Treferthyr,6612033,56,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612036 - Ysgol Gynradd Chwilog,6612036,57,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6612036 - Ysgol Gynradd Chwilog,6612036,57,,Eligible for free school meals or transitionally protected,fsmtp,2,,
90,90,Number of pupils,NUM,1,,6612036 - Ysgol Gynradd Chwilog,6612036,57,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612039 - YSGOL CRUD-Y-WERIN,6612039,58,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6612039 - YSGOL CRUD-Y-WERIN,6612039,58,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
55,55,Number of pupils,NUM,1,,6612039 - YSGOL CRUD-Y-WERIN,6612039,58,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6612042 - Ysgol Dolbadarn,6612042,59,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6612042 - Ysgol Dolbadarn,6612042,59,,Eligible for free school meals or transitionally protected,fsmtp,2,,
130,130,Number of pupils,NUM,1,,6612042 - Ysgol Dolbadarn,6612042,59,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612046 - Ysgol Gynradd Edern,6612046,60,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6612046 - Ysgol Gynradd Edern,6612046,60,,Eligible for free school meals or transitionally protected,fsmtp,2,,
80,80,Number of pupils,NUM,1,,6612046 - Ysgol Gynradd Edern,6612046,60,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612048 - Ysgol Bro Plenydd,6612048,61,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6612048 - Ysgol Bro Plenydd,6612048,61,,Eligible for free school meals or transitionally protected,fsmtp,2,,
90,90,Number of pupils,NUM,1,,6612048 - Ysgol Bro Plenydd,6612048,61,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612049 - Ysgol Gynradd Garndolbenmaen,6612049,62,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6612049 - Ysgol Gynradd Garndolbenmaen,6612049,62,,Eligible for free school meals or transitionally protected,fsmtp,2,,
15,15,Number of pupils,NUM,1,,6612049 - Ysgol Gynradd Garndolbenmaen,6612049,62,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612060 - Ysgol Gynradd Llanbedrog,6612060,63,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6612060 - Ysgol Gynradd Llanbedrog,6612060,63,,Eligible for free school meals or transitionally protected,fsmtp,2,,
95,95,Number of pupils,NUM,1,,6612060 - Ysgol Gynradd Llanbedrog,6612060,63,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612066 - Ysgol Gynradd Llangybi,6612066,64,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6612066 - Ysgol Gynradd Llangybi,6612066,64,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25,25,Number of pupils,NUM,1,,6612066 - Ysgol Gynradd Llangybi,6612066,64,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6612069 - Ysgol Llanllechid,6612069,65,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6612069 - Ysgol Llanllechid,6612069,65,,Eligible for free school meals or transitionally protected,fsmtp,2,,
260,260,Number of pupils,NUM,1,,6612069 - Ysgol Llanllechid,6612069,65,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6612070 - Ysgol Gynradd Llanllyfni,6612070,66,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6612070 - Ysgol Gynradd Llanllyfni,6612070,66,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6612070 - Ysgol Gynradd Llanllyfni,6612070,66,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612075 - YSGOL BABANOD MORFA NEFYN,6612075,67,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6612075 - YSGOL BABANOD MORFA NEFYN,6612075,67,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
20,20,Number of pupils,NUM,1,,6612075 - YSGOL BABANOD MORFA NEFYN,6612075,67,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612078 - Ysgol Baladeulyn,6612078,68,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6612078 - Ysgol Baladeulyn,6612078,68,,Eligible for free school meals or transitionally protected,fsmtp,2,,
15,15,Number of pupils,NUM,1,,6612078 - Ysgol Baladeulyn,6612078,68,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612081 - Ysgol Gynradd Nebo,6612081,69,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6612081 - Ysgol Gynradd Nebo,6612081,69,,Eligible for free school meals or transitionally protected,fsmtp,2,,
10,10,Number of pupils,NUM,1,,6612081 - Ysgol Gynradd Nebo,6612081,69,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612085 - Ysgol Gymuned Penisarwaun,6612085,70,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6612085 - Ysgol Gymuned Penisarwaun,6612085,70,,Eligible for free school meals or transitionally protected,fsmtp,2,,
